seed	classification	layout_id	rank_cells	count	total	frequency
0	straight	mask_079b	0,1,3,4,7,8,9,10	2	18815065	1.0629779913064345e-07
0	straight	mask_079e	1,2,3,4,7,8,9,10	11	18815065	5.8463789521853896e-07
0	straight	mask_07a7	0,1,2,5,7,8,9,10	196	18815065	1.0417184314803058e-05
0	straight	mask_07ab	0,1,3,5,7,8,9,10	12	18815065	6.3778679478386071e-07
0	straight	mask_07ad	0,2,3,5,7,8,9,10	31	18815065	1.6476158865249734e-06
0	straight	mask_07ae	1,2,3,5,7,8,9,10	64	18815065	3.4015295721805905e-06
0	straight	mask_07b3	0,1,4,5,7,8,9,10	368	18815065	1.9558795040038393e-05
0	straight	mask_07b5	0,2,4,5,7,8,9,10	217	18815065	1.1533311205674814e-05
0	straight	mask_07b6	1,2,4,5,7,8,9,10	291	18815065	1.5466329773508621e-05
0	straight	mask_07b9	0,3,4,5,7,8,9,10	3	18815065	1.5944669869596518e-07
0	straight	mask_07ba	1,3,4,5,7,8,9,10	33	18815065	1.7539136856556169e-06
0	straight	mask_07bc	2,3,4,5,7,8,9,10	27	18815065	1.4350202882636866e-06
0	straight	mask_07c7	0,1,2,6,7,8,9,10	203	18815065	1.078922661176031e-05
0	straight	mask_07cb	0,1,3,6,7,8,9,10	58	18815065	3.0826361747886602e-06
0	straight	mask_07cd	0,2,3,6,7,8,9,10	30	18815065	1.5944669869596517e-06
0	straight	mask_07ce	1,2,3,6,7,8,9,10	209	18815065	1.1108120009152241e-05
0	straight	mask_07d3	0,1,4,6,7,8,9,10	112	18815065	5.9526767513160329e-06
0	straight	mask_07d5	0,2,4,6,7,8,9,10	27	18815065	1.4350202882636866e-06
0	straight	mask_07d6	1,2,4,6,7,8,9,10	178	18815065	9.4605041226272667e-06
0	straight	mask_07d9	0,3,4,6,7,8,9,10	5	18815065	2.657444978266086e-07
0	straight	mask_07da	1,3,4,6,7,8,9,10	56	18815065	2.9763383756580164e-06
0	straight	mask_07dc	2,3,4,6,7,8,9,10	41	18815065	2.1791048821781909e-06
0	straight	mask_07e3	0,1,5,6,7,8,9,10	747	18815065	3.9702227975295326e-05
0	straight	mask_07e5	0,2,5,6,7,8,9,10	496	18815065	2.6361854184399574e-05
0	straight	mask_07e6	1,2,5,6,7,8,9,10	2529	18815065	0.00013441356700069865
0	straight	mask_07e9	0,3,5,6,7,8,9,10	109	18815065	5.793230052620068e-06
0	straight	mask_07ea	1,3,5,6,7,8,9,10	569	18815065	3.0241723852668063e-05
0	straight	mask_07ec	2,3,5,6,7,8,9,10	639	18815065	3.3962146822240581e-05
0	straight	mask_07f1	0,4,5,6,7,8,9,10	693	18815065	3.6832187398767954e-05
0	straight	mask_07f2	1,4,5,6,7,8,9,10	3192	18815065	0.00016965128741250695
0	straight	mask_07f4	2,4,5,6,7,8,9,10	1719	18815065	9.1362958352788048e-05
0	straight	mask_07f8	3,4,5,6,7,8,9,10	1268	18815065	6.739280464882795e-05
0	straight	mask_093f	0,1,2,3,4,5,8,11	881	18815065	4.6824180517048437e-05
0	straight	mask_095f	0,1,2,3,4,6,8,11	335	18815065	1.7804881354382777e-05
0	straight	mask_096f	0,1,2,3,5,6,8,11	417	18815065	2.2163091118739159e-05
0	straight	mask_0977	0,1,2,4,5,6,8,11	653	18815065	3.4706231416155088e-05
0	straight	mask_097b	0,1,3,4,5,6,8,11	82	18815065	4.3582097643563818e-06
0	straight	mask_097d	0,2,3,4,5,6,8,11	48	18815065	2.5511471791354429e-06
0	straight	mask_097e	1,2,3,4,5,6,8,11	582	18815065	3.0932659547017242e-05
0	straight	mask_099f	0,1,2,3,4,7,8,11	19	18815065	1.0098290917411128e-06
0	straight	mask_09b7	0,1,2,4,5,7,8,11	21	18815065	1.1161268908717563e-06
0	straight	mask_09bd	0,2,3,4,5,7,8,11	1	18815065	5.3148899565321726e-08
0	straight	mask_09be	1,2,3,4,5,7,8,11	10	18815065	5.3148899565321721e-07
0	straight	mask_09f3	0,1,4,5,6,7,8,11	317	18815065	1.6848201162206987e-05
0	straight	mask_09f5	0,2,4,5,6,7,8,11	36	18815065	1.9133603843515822e-06
0	straight	mask_09f6	1,2,4,5,6,7,8,11	3526	18815065	0.00018740301986732441
0	straight	mask_09f9	0,3,4,5,6,7,8,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0b1f	0,1,2,3,4,8,9,11	396	18815065	2.1046964227867403e-05
0	straight	mask_0b2f	0,1,2,3,5,8,9,11	65	18815065	3.4546784717459121e-06
0	straight	mask_0b37	0,1,2,4,5,8,9,11	209	18815065	1.1108120009152241e-05
0	straight	mask_0b3b	0,1,3,4,5,8,9,11	18	18815065	9.5668019217579112e-07
0	straight	mask_0b3d	0,2,3,4,5,8,9,11	20	18815065	1.0629779913064344e-06
0	straight	mask_0b3e	1,2,3,4,5,8,9,11	86	18815065	4.5708053626176684e-06
0	straight	mask_0b4f	0,1,2,3,6,8,9,11	101	18815065	5.3680388560974939e-06
0	straight	mask_0b57	0,1,2,4,6,8,9,11	22	18815065	1.1692757904370779e-06
0	straight	mask_0b5b	0,1,3,4,6,8,9,11	8	18815065	4.2519119652257381e-07
0	straight	mask_0b5d	0,2,3,4,6,8,9,11	3	18815065	1.5944669869596518e-07
0	straight	mask_0b5e	1,2,3,4,6,8,9,11	17	18815065	9.0353129261046937e-07
0	straight	mask_0b67	0,1,2,5,6,8,9,11	330	18815065	1.7539136856556171e-05
0	straight	mask_0b6b	0,1,3,5,6,8,9,11	23	18815065	1.2224246900023996e-06
0	straight	mask_0b6d	0,2,3,5,6,8,9,11	21	18815065	1.1161268908717563e-06
0	straight	mask_0b6e	1,2,3,5,6,8,9,11	139	18815065	7.3876970395797199e-06
0	straight	mask_0b73	0,1,4,5,6,8,9,11	500	18815065	2.6574449782660864e-05
